Day,Month,Year,Open
21,7,2023,77.849998
4,12,2023,118.75
8,8,2022,54.700001
2,8,2022,50.0
21,4,2022,81.099998
26,9,2022,60.0
31,5,2022,68.5
2,2,2023,48.400002
23,3,2023,52.900002
2,5,2022,71.75
15,11,2023,123.300003
7,7,2023,74.800003
15,9,2023,100.5
1,9,2021,134.550003
12,5,2023,62.5
7,6,2022,69.699997
21,7,2022,53.349998
28,4,2022,77.349998
12,12,2022,64.150002
21,9,2022,63.299999
3,11,2021,132.899994
11,5,2023,62.599998
24,8,2023,95.75
24,8,2021,127.25
12,1,2024,140.0
23,2,2023,53.0
2,11,2022,63.75
5,12,2023,117.900002
24,11,2023,114.150002
30,6,2022,57.799999
16,6,2022,72.0
6,10,2022,64.400002
15,3,2022,79.300003
18,8,2023,91.0
1,1,2024,124.449997
20,10,2022,61.700001
1,3,2023,53.5
4,8,2022,55.75
7,10,2021,136.75
28,10,2022,65.25
1,11,2022,63.5
9,12,2021,148.649994
6,9,2023,98.400002
5,1,2023,56.950001
23,12,2021,140.050003
27,10,2022,64.099998
21,3,2023,53.849998
26,10,2023,107.5
15,1,2024,139.550003
12,7,2022,55.900002
9,3,2023,55.099998
2,8,2021,135.75
20,7,2023,78.050003
24,10,2022,62.900002
16,11,2022,69.949997
23,1,2023,51.900002
7,9,2023,98.650002
25,5,2023,64.800003
16,9,2021,143.0
30,10,2023,106.199997
27,1,2022,98.0
19,1,2024,130.5
17,1,2023,53.0
23,3,2022,82.0
22,12,2022,61.799999
16,2,2023,50.799999
17,9,2021,142.550003
30,1,2023,47.900002
3,12,2021,152.100006
10,8,2021,131.0
23,11,2023,113.599998
16,9,2022,64.400002
18,2,2022,88.099998
24,11,2022,62.299999
12,1,2023,54.700001
13,6,2023,77.900002
30,8,2021,127.849998
27,7,2023,83.349998
21,3,2022,82.0
22,11,2021,158.25
3,2,2022,98.5
26,7,2021,126.349998
14,3,2023,52.0
20,8,2021,134.949997
3,9,2021,135.949997
28,11,2022,64.25
8,8,2023,98.349998
28,12,2023,124.900002
4,11,2021,130.0
24,11,2021,151.100006
23,9,2022,63.0
22,11,2022,64.900002
8,10,2021,138.0
6,9,2022,60.299999
4,4,2022,84.400002
3,7,2023,75.449997
31,7,2023,87.0
14,12,2022,64.849998
22,12,2021,133.050003
6,12,2023,117.150002
8,9,2021,141.0
25,2,2022,82.0
29,7,2021,134.949997
9,6,2022,66.199997
8,7,2022,55.0
4,7,2022,54.5
25,11,2021,157.0
25,1,2022,90.949997
17,2,2022,86.5
24,1,2022,114.0
3,3,2022,81.5
23,6,2023,73.900002
11,7,2022,54.700001
18,11,2021,158.899994
11,1,2022,131.0
3,11,2022,62.799999
26,8,2021,125.25
16,1,2024,135.0
21,12,2023,122.150002
9,8,2023,93.900002
14,9,2023,98.650002
21,10,2021,139.75
29,12,2021,132.699997
1,12,2022,66.5
10,1,2024,134.25
2,1,2024,127.0
27,9,2021,139.850006
17,10,2022,61.900002
2,12,2021,151.600006
29,6,2022,58.75
15,6,2023,74.5
14,11,2022,74.300003
28,3,2022,80.599998
12,4,2023,54.25
13,6,2022,67.5
25,3,2022,81.0
20,6,2022,68.0
22,2,2023,54.849998
3,8,2021,137.0
25,8,2023,93.349998
7,1,2022,130.0
24,1,2024,131.449997
27,12,2022,59.400002
9,5,2023,64.699997
18,7,2022,54.700001
8,2,2022,94.349998
24,3,2023,52.5
4,9,2023,97.5
11,4,2023,54.650002
7,11,2023,123.550003
22,9,2023,99.5
11,7,2023,75.050003
27,4,2023,58.599998
1,9,2023,98.300003
1,11,2023,105.599998
27,9,2022,58.150002
8,12,2023,123.0
20,4,2022,81.599998
10,6,2022,67.300003
7,9,2022,59.650002
22,3,2023,53.400002
3,5,2023,63.450001
23,6,2022,67.050003
6,8,2021,135.5
27,12,2023,125.699997
2,9,2021,132.0
4,7,2023,75.800003
25,5,2022,65.699997
20,2,2023,51.900002
20,1,2022,127.949997
2,11,2021,132.699997
16,3,2022,80.0
6,5,2022,59.299999
9,2,2022,94.5
28,8,2023,96.0
2,11,2023,105.0
4,1,2022,141.350006
15,11,2022,69.599998
13,2,2023,53.0
17,12,2021,138.949997
9,12,2022,64.199997
25,10,2022,62.700001
21,4,2023,54.299999
7,12,2022,65.099998
27,6,2023,75.150002
3,11,2023,108.800003
10,10,2023,104.900002
31,12,2021,133.850006
2,6,2023,70.0
13,9,2022,63.0
9,9,2022,62.0
13,3,2023,53.950001
26,4,2022,80.599998
8,5,2023,64.599998
18,1,2022,134.5
5,6,2023,71.300003
10,2,2023,52.700001
1,12,2023,118.0
7,12,2021,141.350006
16,3,2023,50.900002
17,10,2023,112.5
9,5,2022,59.599998
22,10,2021,138.949997
17,1,2024,132.399994
26,9,2023,98.599998
5,4,2022,83.0
18,8,2021,134.5
31,8,2023,100.050003
5,5,2023,65.5
28,9,2021,143.899994
11,10,2022,68.400002
30,11,2023,118.800003
31,1,2022,91.349998
6,11,2023,119.599998
5,10,2021,138.75
14,12,2021,144.699997
11,5,2022,52.0
6,6,2022,70.0
7,7,2022,54.650002
23,8,2023,92.949997
31,1,2024,140.0
11,10,2023,106.800003
25,10,2021,138.0
16,6,2023,75.550003
4,5,2023,63.5
25,7,2023,81.300003
29,3,2022,80.050003
20,7,2022,54.5
3,8,2022,52.5
26,7,2022,46.599998
17,4,2023,54.200001
23,8,2022,62.299999
26,12,2023,128.5
25,1,2024,135.899994
4,3,2022,80.5
1,6,2023,68.699997
12,11,2021,142.0
30,5,2023,67.5
24,1,2023,51.0
21,9,2021,137.199997
28,9,2023,100.349998
9,10,2023,103.800003
27,10,2021,136.199997
16,11,2023,120.900002
24,5,2022,57.950001
4,8,2021,139.800003
15,11,2021,149.0
18,9,2023,103.599998
18,10,2021,136.0
15,5,2023,62.099998
25,7,2022,52.5
19,1,2023,50.299999
19,6,2023,74.599998
10,4,2023,52.150002
27,1,2023,49.0
30,6,2023,75.0
24,7,2023,80.800003
13,1,2022,132.5
8,1,2024,133.649994
29,12,2023,124.0
4,11,2022,62.75
9,1,2023,56.0
20,3,2023,53.599998
15,2,2022,83.5
1,12,2021,153.0
11,11,2022,66.0
9,11,2022,65.449997
20,10,2021,138.5
10,7,2023,73.449997
8,2,2023,51.200001
29,3,2023,50.25
